uri,check_full_titles_for_volume_info?,check_copyright_ocr_for_edition_info?,check_fm_and_marc_titles_for_differences?
https://hdl.handle.net/2027/heb.00208.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00212.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00213.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00217.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00218.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00220.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00221.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00222.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00223.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00224.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00226.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00228.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00229.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00245.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00247.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00249.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00252.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00254.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00258.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00259.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00261.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00262.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00263.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00264.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00265.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00266.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00268.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00270.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00272.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00273.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00274.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00276.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00280.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00281.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00282.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00283.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00284.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00285.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00287.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00290.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00291.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00293.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00294.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00295.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00296.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00297.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00299.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00301.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00302.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00303.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00308.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00310.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00313.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00317.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00319.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00320,N,N,YES
https://hdl.handle.net/2027/heb.00320.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00320.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00320.0003.001,YES,N,YES
https://hdl.handle.net/2027/heb.00322.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00323.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00325.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00326.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00327.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00331.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00334.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00336.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00337.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00338.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00340.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00341.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00342.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00343.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00345.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00346.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00350.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00352.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00354.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00355.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00360.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00361.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00363.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00364.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00368.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00370.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00381.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00382.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00387.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00389.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00392.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00393.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00397.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00398.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00400.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00402.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00404.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00405.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00406.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00408.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00413.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00417.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00421.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00422.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00423.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00426.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00427.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00428.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00429.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00431.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00433.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00439.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00440.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00443.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00448.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00451.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00452.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00459.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00460.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00462.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00465.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00466.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00467.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00471.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00472.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00473.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00475.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00476.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00477.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00478.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00479.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00480.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00481.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00482.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00483.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00484.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00485.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00487.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00488.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00489.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00490.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00493.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00494.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00495.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00496.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00498.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00499.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00500.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00502.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00505.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00507.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00509.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00512.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00515.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00516.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00517.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00522.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00526.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00527.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00531.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00532.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00533.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00534.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00537.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00543.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00545.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00546.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00555.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00556.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00559.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00563.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00565.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00567.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00569.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00570.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00571.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00576.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00577.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00581.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00584.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00586.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00589.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00590.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00593.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00595.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00596.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00597.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00598.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00599.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00600.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00601.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00602.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00605.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00606.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00607.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00608.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00609.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00610.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00614,N,N,YES
https://hdl.handle.net/2027/heb.00614.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00614.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00614.0003.001,YES,N,YES
https://hdl.handle.net/2027/heb.00614.0004.001,YES,N,YES
https://hdl.handle.net/2027/heb.00622.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00625.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00626.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00628.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00636.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00645.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00647,N,N,YES
https://hdl.handle.net/2027/heb.00647.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00647.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00648.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00649.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00653,N,N,YES
https://hdl.handle.net/2027/heb.00653.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00653.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00656.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00659.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00662,N,N,YES
https://hdl.handle.net/2027/heb.00662.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00662.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00663.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00664.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00666.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00673.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00674.0001.001,N,YES -- CHECK FIRST,YES
https://hdl.handle.net/2027/heb.00675.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00677.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00678,N,N,YES
https://hdl.handle.net/2027/heb.00678.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00678.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00678.0003.001,YES,N,YES
https://hdl.handle.net/2027/heb.00678.0004.001,YES,N,YES
https://hdl.handle.net/2027/heb.00678.0005.001,YES,N,YES
https://hdl.handle.net/2027/heb.00685.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00691,N,N,YES
https://hdl.handle.net/2027/heb.00691.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00691.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00696.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00703.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00705.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00708.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00711.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00712.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00713.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00714.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00715.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00716.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00720.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00721.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00725.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00727.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00731.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00734.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00735.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00740,N,N,YES
https://hdl.handle.net/2027/heb.00740.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00740.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00743.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00747.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00748,N,N,YES
https://hdl.handle.net/2027/heb.00748.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00748.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00749.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00750,N,N,YES
https://hdl.handle.net/2027/heb.00750.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00750.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00753.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00754.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00755.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00758.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00759.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00763.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00766,N,N,YES
https://hdl.handle.net/2027/heb.00766.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00766.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00772.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00779.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00784.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00791.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00793.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00794.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00798.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00804.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00806.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00808.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00811.0001.001,N,YES -- CHECK FIRST,N
https://hdl.handle.net/2027/heb.00812.0001.001,N,N,YES
https://hdl.handle.net/2027/heb.00817.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00818.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00819.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00820.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00821.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00822.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00823,N,N,YES
https://hdl.handle.net/2027/heb.00823.0001.001,YES,N,YES
https://hdl.handle.net/2027/heb.00823.0002.001,YES,N,YES
https://hdl.handle.net/2027/heb.00823.0003.001,YES,N,YES
https://hdl.handle.net/2027/heb.00829.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00830.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00831.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00833.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00834.0001.001,N,N,N
https://hdl.handle.net/2027/heb.00838,N,N,YES
